#,Title,JPja,USen
452,EnduranceDungeon02_floor6_sub,地下６階,Underground Floor 6
453,EnduranceDungeon02_floor7_sub,地下７階,Underground Floor 7
454,EnduranceDungeon02_floor8_sub,地下８階,Underground Floor 8
455,EnduranceDungeon02_floor9_sub,地下９階,Underground Floor 9
456,EnduranceDungeon02_sub,剣の試練極位,Final Trials
457,EnduranceDungeon_floor,剣の試練序位,Beginning Trials
458,EnduranceDungeon_floor10_sub,地下１０階,Underground Floor 10
459,EnduranceDungeon_floor11_sub,地下１１階,Underground Floor 11
460,EnduranceDungeon_floor12_sub,地下１２階,Underground Floor 12
461,EnduranceDungeon_floor1_sub,地下１階,Underground Floor 1
462,EnduranceDungeon_floor2_sub,地下２階,Underground Floor 2
463,EnduranceDungeon_floor3_sub,地下３階,Underground Floor 3
464,EnduranceDungeon_floor4_sub,地下４階,Underground Floor 4
465,EnduranceDungeon_floor5_sub,地下５階,Underground Floor 5
466,EnduranceDungeon_floor6_sub,地下６階,Underground Floor 6
467,EnduranceDungeon_floor7_sub,地下７階,Underground Floor 7
468,EnduranceDungeon_floor8_sub,地下８階,Underground Floor 8
469,EnduranceDungeon_floor9_sub,地下９階,Underground Floor 9
470,EnduranceDungeon_master,剣の導師,Sword Monk
471,EnduranceDungeon_sub,剣の試練序位,Beginning Trials
